serija,zanr
11.22.63,Drama
11.22.63,Mystery
11.22.63,Sci-Fi
13 Reasons Why,Drama
13 Reasons Why,Mystery
Agenti SHIELD,Action
Agenti SHIELD,Adventure
Agenti SHIELD,Drama
American Crime Story,Biography
American Crime Story,Crime
American Crime Story,Drama
Ameriska grozljivka,Drama
Ameriska grozljivka,Horror
Ameriska grozljivka,Thriller
Angel,Action
Angel,Drama
Angel,Fantasy
Atlanta,Comedy
Atlanta,Drama
Atlanta,Music
Avatar: The Last Airbender,Action
Avatar: The Last Airbender,Adventure
Avatar: The Last Airbender,Animation
Band of Brothers,Action
Band of Brothers,Drama
Band of Brothers,History
Banshee,Action
Banshee,Crime
Banshee,Drama
Battlestar Galactica,Action
Battlestar Galactica,Adventure
Battlestar Galactica,Drama
Beg iz zapora,Action
Beg iz zapora,Crime
Beg iz zapora,Drama
Better Call Saul,Crime
Better Call Saul,Drama
Big Little Lies,Crime
Big Little Lies,Drama
Big Little Lies,Mystery
Billions,Drama
Black Mirror,Drama
Black Mirror,Sci-Fi
Black Mirror,Thriller
Black Sails,Adventure
Black Sails,Drama
BoJack Horseman,Animation
BoJack Horseman,Comedy
BoJack Horseman,Drama
Brez sramu,Comedy
Brez sramu,Drama
Buffy - Izganjalka vampirjev,Action
Buffy - Izganjalka vampirjev,Drama
Buffy - Izganjalka vampirjev,Fantasy
Castle,Comedy
Castle,Crime
Castle,Drama
Castle Rock,Drama
Castle Rock,Fantasy
Castle Rock,Horror
Community,Comedy
Cosmos: A Spacetime Odyssey,Documentary
Daredevil,Action
Daredevil,Crime
Daredevil,Drama
Dark,Crime
Dark,Drama
Dark,Mystery
Dexter,Crime
Dexter,Drama
Dexter,Mystery
Doctor Who,Adventure
Doctor Who,Drama
Doctor Who,Family
Dosjeji X,Drama
Dosjeji X,Mystery
Dosjeji X,Sci-Fi
Extras,Comedy
Extras,Drama
Family Guy,Animation
Family Guy,Comedy
Fargo,Crime
Fargo,Drama
Fargo,Thriller
Firefly,Adventure
Firefly,Drama
Firefly,Sci-Fi
Futurama,Animation
Futurama,Comedy
Futurama,Sci-Fi
Glee,Comedy
Glee,Drama
Glee,Music
Gotham,Action
Gotham,Crime
Gotham,Drama
Gravity Falls,Adventure
Gravity Falls,Animation
Gravity Falls,Comedy
Hannibal,Crime
Hannibal,Drama
Hannibal,Horror
Heroji,Drama
Heroji,Fantasy
Heroji,Sci-Fi
Homeland,Crime
Homeland,Drama
Homeland,Mystery
House of Cards,Drama
How to Get Away with Murder,Crime
How to Get Away with Murder,Drama
How to Get Away with Murder,Mystery
Igra prestolov,Action
Igra prestolov,Adventure
Igra prestolov,Drama
Imperij pregrehe,Crime
Imperij pregrehe,Drama
Imperij pregrehe,History
It's Always Sunny in Philadelphia,Comedy
Jessica Jones,Action
Jessica Jones,Crime
Jessica Jones,Drama
Kako sem spoznal vajino mamo,Comedy
Kako sem spoznal vajino mamo,Romance
Kiber klapa,Comedy
Kriva pota,Crime
Kriva pota,Drama
Kriva pota,Thriller
La casa de papel,Action
La casa de papel,Crime
La casa de papel,Mystery
LazyTown,Adventure
LazyTown,Comedy
LazyTown,Family
Legends of Tomorrow,Action
Legends of Tomorrow,Adventure
Legends of Tomorrow,Drama
Legion,Action
Legion,Drama
Legion,Sci-Fi
Lov na osumljenca,Action
Lov na osumljenca,Crime
Lov na osumljenca,Drama
Lucifer,Crime
Lucifer,Drama
Lucifer,Fantasy
Master of None,Comedy
Mindhunter,Crime
Mindhunter,Drama
Mindhunter,Thriller
Mladi zdravniki,Comedy
Mladi zdravniki,Drama
Mr. Robot,Crime
Mr. Robot,Drama
Mr. Robot,Thriller
Na robu znanosti,Drama
Na robu znanosti,Mystery
Na robu znanosti,Sci-Fi
Nadnaravno,Drama
Nadnaravno,Fantasy
Nadnaravno,Horror
Narcos,Biography
Narcos,Crime
Narcos,Drama
Nepremagljivi dvojec,Comedy
Nepremagljivi dvojec,Drama
Obmocje somraka,Fantasy
Obmocje somraka,Horror
Obmocje somraka,Mystery
Odbita rodbina,Comedy
Oglasevalci,Drama
Once Upon a Time,Adventure
Once Upon a Time,Fantasy
Once Upon a Time,Romance
One Punch Man: Wanpanman,Action
One Punch Man: Wanpanman,Animation
One Punch Man: Wanpanman,Comedy
Oranzna je nova crna,Comedy
Oranzna je nova crna,Crime
Oranzna je nova crna,Drama
Outlander,Drama
Outlander,Fantasy
Outlander,Romance
Ozark,Crime
Ozark,Drama
Ozark,Thriller
Parki in rekreacija,Comedy
Peaky Blinders,Crime
Peaky Blinders,Drama
Penny Dreadful,Drama
Penny Dreadful,Fantasy
Penny Dreadful,Horror
Pisarna,Comedy
Pod ruso,Comedy
Pod ruso,Drama
Pravi detektiv,Crime
Pravi detektiv,Drama
Pravi detektiv,Mystery
Preacher,Adventure
Preacher,Drama
Preacher,Fantasy
Prijatelji,Comedy
Prijatelji,Romance
Puscica,Action
Puscica,Adventure
Puscica,Crime
Rick and Morty,Adventure
Rick and Morty,Animation
Rick and Morty,Comedy
Seinfeld,Comedy
Sense8,Drama
Sense8,Mystery
Sense8,Sci-Fi
Shadowhunters: The Mortal Instruments,Action
Shadowhunters: The Mortal Instruments,Fantasy
Shadowhunters: The Mortal Instruments,Romance
Sherlock,Crime
Sherlock,Drama
Sherlock,Mystery
Shingeki no kyojin,Action
Shingeki no kyojin,Adventure
Shingeki no kyojin,Animation
Silicon Valley,Comedy
Simpsonovi,Animation
Simpsonovi,Comedy
Sinovi anarhije,Crime
Sinovi anarhije,Drama
Sinovi anarhije,Thriller
Skrivna naveza,Crime
Skrivna naveza,Drama
Skrivna naveza,Thriller
Skrivnostni otok,Adventure
Skrivnostni otok,Drama
Skrivnostni otok,Fantasy
Sodobna družina,Comedy
Sodobna družina,Romance
Sopranovi,Crime
Sopranovi,Drama
South Park,Animation
South Park,Comedy
Spartak: Kri in pesek,Action
Spartak: Kri in pesek,Adventure
Spartak: Kri in pesek,Biography
Star Trek,Action
Star Trek,Adventure
Star Trek,Sci-Fi
Star Trek: The Next Generation,Action
Star Trek: The Next Generation,Adventure
Star Trek: The Next Generation,Mystery
Star Wars: Rebels,Action
Star Wars: Rebels,Adventure
Star Wars: Rebels,Animation
Stranger Things,Drama
Stranger Things,Fantasy
Stranger Things,Horror
Taboo,Drama
Taboo,Mystery
Taboo,Thriller
Talenti v belem,Drama
Talenti v belem,Romance
The 100,Drama
The 100,Mystery
The 100,Sci-Fi
The Blacklist,Crime
The Blacklist,Drama
The Blacklist,Mystery
The Crown,Drama
The Crown,History
The Defenders,Action
The Defenders,Adventure
The Defenders,Crime
The Expanse,Drama
The Expanse,Mystery
The Expanse,Sci-Fi
The Filthy Frank Show,Comedy
The Filthy Frank Show,Fantasy
The Filthy Frank Show,Short
The Flash,Action
The Flash,Adventure
The Flash,Drama
The Good Place,Comedy
The Good Place,Drama
The Good Place,Fantasy
The Grand Tour,Comedy
The Grand Tour,Talk-Show
The Handmaid's Tale,Drama
The Handmaid's Tale,Sci-Fi
The Haunting of Hill House,Drama
The Haunting of Hill House,Fantasy
The Haunting of Hill House,Horror
The Leftovers,Drama
The Leftovers,Fantasy
The Leftovers,Mystery
The Legend of Korra,Action
The Legend of Korra,Adventure
The Legend of Korra,Animation
The Newsroom,Drama
The Night Of,Crime
The Night Of,Drama
The Originals,Drama
The Originals,Fantasy
The Originals,Horror
The Punisher,Action
The Punisher,Adventure
The Punisher,Crime
This Is Us,Comedy
This Is Us,Drama
This Is Us,Romance
Twin Peaks,Crime
Twin Peaks,Drama
Twin Peaks,Fantasy
Twin Peaks,Mystery
Vampirski dnevniki,Drama
Vampirski dnevniki,Fantasy
Vampirski dnevniki,Horror
Veliki pokovci,Comedy
Veliki pokovci,Romance
Vikings,Action
Vikings,Adventure
Vikings,Drama
Wayward Pines,Drama
Wayward Pines,Mystery
Wayward Pines,Sci-Fi
Westworld,Drama
Westworld,Mystery
Westworld,Sci-Fi
Zdravnikova vest,Drama
Zdravnikova vest,Mystery
Zivi mrtveci,Drama
Zivi mrtveci,Horror
Zivi mrtveci,Sci-Fi
