epizoda,reziser
0994505,Jesse Bochco
0994506,Milan Cheylov
0995577,Trey Parker
0995578,Trey Parker
0995579,Trey Parker
0995580,Trey Parker
0995581,Trey Parker
0995582,Trey Parker
0995836,Alan Taylor
0995837,Timothy Van Patten
0995838,Alan Taylor
0995839,David Chase
0996572,James Strong
0998660,Stephen Williams
1000251,Graeme Harper
1000252,Hettie Macdonald
1000253,Richard Clark
1000254,Charlie Palmer
1000255,Colin Teague
1000255,Graeme Harper
1000256,Charlie Palmer
1000257,Richard Clark
1000258,Colin Teague
1000259,Graeme Harper
1000536,Mike Rohl
1004798,Jack Bender
1008441,Randall Einhorn
1008582,Alan Ball
1013977,Tony Goldwyn
1013978,Steve Shill
1013979,Marcos Siega
1013980,Steve Shill
1013981,Marcos Siega
1013982,Tony Goldwyn
1013983,Nick Gomez
1013984,Keith Gordon
1013985,Nick Gomez
1013986,Jeremy Podeswa
1013987,Keith Gordon
1013988,Marcos Siega
1015608,Edward Allen Bernero
1017766,Pamela Fryman
1020711,Tucker Gates
1026035,Greg Daniels
1028389,Harold Ramis
1030253,Ken Kwapis
1031453,Paul Feig
1031473,Jason Reitman
1031477,Paul Feig
1032129,Kim Manners
1032130,Steve Boyum
1032131,Philip Sgriccia
1032132,Kim Manners
1032133,Philip Sgriccia
1032134,Philip Sgriccia
1032135,Charles Beeson
1032137,Mike Rohl
1032138,Cliff Bole
1032139,Kim Manners
1032140,J. Miller Tobin
1032141,Robert Singer
1049715,Alan Taylor
1054724,Adam Bernstein
1054725,Adam Bernstein
1054726,Jim McKay
1054727,Tricia Brock
1054728,Bronwen Hughes
1054729,Tim Hunter
1059578,Alan Taylor
1061123,James Strong
1081396,Deran Sarafian
1084790,Pamela Fryman
1091289,Mark Cendrowski
1091290,Mark Cendrowski
1091291,Mark Cendrowski
1091292,Andrew D. Weyman
1091293,Mark Cendrowski
1094834,Rob Greenberg
1097293,Pamela Fryman
1104878,Steve Boyum
1104921,Ricky Gervais
1104921,Stephen Merchant
1105057,Matthew Weiner
1107710,Robert Singer
1114258,Steve Shill
1115217,Pamela Fryman
1117436,Pamela Fryman
1119944,Félix Enríquez Alcalá
1120228,Pamela Fryman
1121411,Pamela Fryman
1124745,Jerry Levine
1127384,Mark Cendrowski
1127385,Mark Cendrowski
1127386,Mark Cendrowski
1127387,Mark Cendrowski
1127389,Ted Wass
1127390,Joel Murray
1127905,Mark Cendrowski
1127906,Mark Cendrowski
1127907,Mark Cendrowski
1127908,Mark Cendrowski
1129418,Graeme Harper
1136041,Mark Cendrowski
1140904,Pamela Fryman
1142665,Pamela Fryman
1154186,Pamela Fryman
1155839,Pamela Fryman
1159991,James Strong
1159992,Douglas Mackinnon
1168087,David Straiton
1173173,Colin Teague
1173174,Graeme Harper
1203040,Pamela Fryman
1204265,Joaquim Dos Santos
1204516,Pamela Fryman
1205436,Graeme Harper
1205437,Graeme Harper
1205438,Graeme Harper
1205439,Alice Troughton
1205440,Euros Lyn
1206073,Robert Singer
1206866,Pamela Fryman
1206867,Pamela Fryman
1206868,Pamela Fryman
1206869,Pamela Fryman
1206870,Pamela Fryman
1206871,Pamela Fryman
1206872,Pamela Fryman
1207526,Trey Parker
1208094,Bobby Roth
1208127,Douglas Mackinnon
1208128,Alice Troughton
1208129,Euros Lyn
1208130,Graeme Harper
1212036,Glenn Kershaw
1216108,Greg Yaitanes
1216109,Katie Jacobs
1222593,Charles Beeson
1222594,Kim Manners
1222595,Kim Manners
1222596,J. Miller Tobin
1222597,Philip Sgriccia
1222598,Robert Singer
1222599,Adam Kane
1222600,Charles Beeson
1222601,Steve Boyum
1222602,Mike Rohl
1222603,James L. Conway
1222604,Mike Rohl
1222605,Philip Sgriccia
1222606,Philip Sgriccia
1222607,Charles Beeson
1222608,Robert Singer
1222609,Eric Kripke
1222610,Robert Singer
1222611,Steve Boyum
1222612,Kim Manners
1222613,Philip Sgriccia
1222614,Charles Beeson
1222615,Robert Singer
1222616,Charles Beeson
1224483,Michael Switzer
1232244,Bryan Cranston
1232245,Phil Abraham
1232246,Adam Bernstein
1232247,Colin Bucksey
1232248,Adam Bernstein
1232249,Charles Haid
1232250,Terry McDonough
1232251,John Dahl
1232252,Johan Renck
1232253,Peter Medak
1232254,Félix Enríquez Alcalá
1232255,Terry McDonough
1232256,Michelle MacLaren
1236462,Paul Feig
1242111,Keith Gordon
1242112,John Dahl
1242113,Marcos Siega
1242114,Keith Gordon
1242115,Marcos Siega
1242116,John Dahl
1242117,Keith Gordon
1242118,Marcos Siega
1242119,Ernest R. Dickerson
1242120,Steve Shill
1242121,Marcos Siega
1242122,Tim Hunter
1245384,Phil Alden Robinson
1247462,David Leland
1247463,Mikael Salomon
1247464,Tom Hanks
1247465,Richard Loncraine
1247466,Mikael Salomon
1247467,David Nutter
1247468,David Frankel
1247469,Tony To
1247470,David Frankel
1248537,Alex Graves
1248542,Paul A. Edwards
1248736,Jeffrey Blitz
1256020,Mark Cendrowski
1256021,Mark Cendrowski
1256022,Mark Cendrowski
1256023,Mark Cendrowski
1256024,Mark Cendrowski
1256025,Mark Cendrowski
1256026,Mark Cendrowski
1256027,Mark Cendrowski
1256028,Peter Chakos
1256029,Mark Cendrowski
1256030,Mark Cendrowski
1256031,Mark Cendrowski
1256032,Mark Cendrowski
1256033,Mark Cendrowski
1256034,Mark Cendrowski
1256035,Mark Cendrowski
1256036,Mark Cendrowski
1256037,Mark Cendrowski
1256038,Mark Cendrowski
1256039,Mark Cendrowski
1256040,Mark Cendrowski
1256097,Jason Alexander
1256099,Rob Hardy
1256104,Guy Norman Bee
1256171,Pamela Fryman
1256172,Pamela Fryman
1256173,Pamela Fryman
1256174,Pamela Fryman
1256175,Pamela Fryman
1256176,Pamela Fryman
1256177,Pamela Fryman
1256178,Rob Greenberg
1256180,Pamela Fryman
1256181,Pamela Fryman
1256183,Pamela Fryman
1256184,Pamela Fryman
1256185,Pamela Fryman
1256186,Michael J. Shea
1256187,Pamela Fryman
1256188,Pamela Fryman
1256190,Pamela Fryman
1256191,Pamela Fryman
1256599,Mark Cendrowski
1256601,Edward Allen Bernero
1256606,Pamela Fryman
1266369,Matt Shakman
1268727,Steve Carell
1273722,Daniel Attias
1273724,Greg Yaitanes
1273733,Katie Jacobs
1276201,Martin Scorsese
1280267,Stephen Williams
1284388,Allen Coulter
1284388,Michael Dinner
1313407,Jack Bender
1316546,Evan Goldberg
1316546,Seth Rogen
1319361,Rod Holcomb
1319916,Matt Shakman
1321692,Jack Bender
1321693,Stephen Williams
1321969,Andy Goddard
1322105,Paul A. Edwards
1329665,Dominic Polcino
1329665,James Purdum
1329665,Peter Shin
1337072,James Strong
1340502,Stephen Williams
1341555,Mark Goldman
1353861,Jack Bender
1358333,Greg Yaitanes
1363399,Bobby Roth
1368702,Stephen Williams
1378943,Jack Bender
1378944,Paul A. Edwards
1385812,Bill Lawrence
1392842,Ryan Murphy
1394850,Kevin Hooks
1397943,Trey Parker
1399759,David Straiton
1399779,Jack Bender
1400160,Stephen Williams
1400652,Brad Anderson
1413129,Greg Yaitanes
1413314,Graeme Harper
1415016,Euros Lyn
1415017,Euros Lyn
1425504,John Gallagher
1425523,Pamela Fryman
1426233,Mark Cendrowski
1444418,Marcos Siega
1444419,Keith Gordon
1444420,S.J. Clarkson
1444421,Steve Shill
1444422,Brian Kirk
1444423,Marcos Siega
1444424,John Dahl
1444425,Keith Gordon
1444426,Romeo Tirone
1444427,Tim Hunter
1444428,Ernest R. Dickerson
1444429,John Dahl
1444504,Jason Winer
1452802,Rick Jacobson
1453335,Jack Bender
1461906,Robert Singer
1462220,Katie Jacobs
1464088,Philip Sgriccia
1464089,J. Miller Tobin
1464469,Michael Hurst
1467481,Anthony Russo
1467481,Joe Russo
1467629,Paul A. Edwards
1467630,Jack Bender
1467631,Daniel Attias
1467632,Jack Bender
1467633,Tucker Gates
1467634,Paul A. Edwards
1467635,Jack Bender
1467640,Jack Bender
1467641,Bobby Roth
1467642,Mario Van Peebles
1467643,Jack Bender
1467644,Tucker Gates
1472899,Chris Martin-Jones
1472900,Rick Jacobson
1472901,Grady Hall
1472902,Jesse Warn
1472903,Rick Jacobson
1472904,Jesse Warn
1472905,Rowan Woods
1472906,Michael Hurst
1478106,Kevin Hooks
1478620,Fred Savage
1480055,Timothy Van Patten
1484414,Matthew Weiner
1486497,Marcos Siega
1487706,Mark Cendrowski
1487742,Paul Feig
1488983,James L. Conway
1488984,Steve Boyum
1491272,Pamela Fryman
1493943,Jeff Zimbalist
1493943,Michael Zimbalist
1494210,Mark Cendrowski
1495238,Mark Cendrowski
1502626,Michael Hurst
1503241,Joe Russo
1503406,Greg Yaitanes
1503509,Glenn Standring
1506623,Greg Colton
1506623,James Purdum
1506623,Peter Shin
1506849,Charles Beeson
1507550,Robert Singer
1510422,Pamela Fryman
1511910,Charles Beeson
1520584,Pamela Fryman
1521502,Jesse Warn
1523038,Pamela Fryman
1523180,Mark Cendrowski
1523181,Mark Cendrowski
1523745,Pamela Fryman
1528116,Bryan Cranston
1528188,Mark Cendrowski
1528909,Justin Lin
1532469,Philip Sgriccia
1533421,Tucker Gates
1533530,James L. Conway
1535334,Mark Cendrowski
1536724,Pamela Fryman
1536922,Mark Cendrowski
1537137,David Straiton
1537139,Thomas Yatsko
1537555,Randall Einhorn
1539650,Edward Allen Bernero
1541288,Pamela Fryman
1541289,Pamela Fryman
1541419,Steve Boyum
1543420,James L. Conway
1544819,Mark Cendrowski
1552579,Robert Singer
1553522,Pamela Fryman
1554113,Philip Martin
1558529,Mark Cendrowski
1558530,Mark Cendrowski
1559709,Pamela Fryman
1559909,Kurt Sutter
1560343,Paul A. Edwards
1560814,Anna Foerster
1567073,Mark Cendrowski
1570154,Pamela Fryman
1570155,Neil Patrick Harris
1570312,Mark Cendrowski
1576524,Pamela Fryman
1577256,Adam Smith
1577257,Andrew Gunn
1577257,Euros Lyn
1577258,Andrew Gunn
1577259,Adam Smith
1588255,Charles Beeson
1588256,Jeff Woolnough
1588681,Mike Rohl
1588682,John F. Showalter
1588684,Mark Cendrowski
1589021,Adam Smith
1589573,Mark Mylod
1589779,Pamela Fryman
1589887,Mark Cendrowski
1589921,Frank Darabont
1591786,Jonny Campbell
1591787,Jonny Campbell
1591788,Catherine Morshead
1591789,Ashley Way
1591790,Ashley Way
1592080,Peter Chakos
1592610,Matthew Gray Gubler
1594619,Anthony Russo
1594854,Philip Sgriccia
1595996,Justin Lin
1598673,Rick Bota
1599805,Robert Singer
1603637,Stephen Semel
1607757,Catherine Morshead
1607758,Toby Haynes
1607759,Toby Haynes
1607974,Mark Cendrowski
1609315,Pamela Fryman
1609410,Mark Cendrowski
1609715,Mark Cendrowski
1610780,Pamela Fryman
1615186,Adam Bernstein
1615187,Michelle MacLaren
1615550,Rian Johnson
1615551,Michelle MacLaren
1615552,Adam Bernstein
1615553,Vince Gilligan
1615554,Scott Winant
1615555,Johan Renck
1615556,John Shiban
1615557,Colin Bucksey
1615558,Michael Slovis
1615586,Steve Shill
1615666,Jennifer Getzinger
1615944,Michelle MacLaren
1622278,Brian Kirk
1624286,Pamela Fryman
1626753,Steve Boyum
1626754,Philip Sgriccia
1627706,Philip Sgriccia
1627707,Robert Singer
1627708,Mike Rohl
1627709,Philip Sgriccia
1627710,David Barrett
1627711,Jeannot Szwarc
1627712,Charles Beeson
1627713,Mike Rohl
1627714,Guy Norman Bee
1627715,Philip Sgriccia
1627716,John F. Showalter
1627717,John F. Showalter
1627718,Ben Edlund
1627719,John F. Showalter
1627721,Robert Singer
1627722,Jensen Ackles
1627723,Jan Eliasberg
1627724,Rod Hardy
1627725,Guy Norman Bee
1627726,Philip Sgriccia
1627727,John F. Showalter
1627740,Peter Chakos
1628064,Michelle MacLaren
1628065,Gwyneth Horder-Payton
1628066,Johan Renck
1628067,Ernest R. Dickerson
1628068,Guy Ferland
1628617,Anthony Rich
1628912,Tristram Shapeero
1629114,Trey Parker
1630896,Peter Avanzino
1632015,Rob Greenberg
1632224,Mark Cendrowski
1632225,Mark Cendrowski
1632226,Mark Cendrowski
1632227,Mark Cendrowski
1632228,Anthony Rich
1632229,Mark Cendrowski
1632230,Mark Cendrowski
1632231,Mark Cendrowski
1632232,Mark Cendrowski
1632233,Mark Cendrowski
1632234,Peter Chakos
1632235,Mark Cendrowski
1632236,Mark Cendrowski
1632237,Mark Cendrowski
1632238,Mark Cendrowski
1632239,Howard Murray
1632240,Mark Cendrowski
1632241,Mark Cendrowski
1632242,Mark Cendrowski
1632243,Mark Cendrowski
1632244,Mark Cendrowski
1632245,Mark Cendrowski
1632246,Mark Cendrowski
1633052,Trey Parker
1636338,Marcos Siega
1640854,Duke Johnson
1640862,Richard Ayoade
1640865,Duke Johnson
1640865,Tristram Shapeero
1640867,Joe Russo
1640871,Anthony Hemingway
1640873,Joe Russo
1640874,Adam Davidson
1640994,Pamela Fryman
1643647,Rob Corn
1643648,Stephen Cragg
1648494,Pamela Fryman
1648755,Mark Cendrowski
1648756,Mark Cendrowski
1664529,Euros Lyn
1664530,Paul McGuigan
1665071,Paul McGuigan
1668746,Timothy Van Patten
1672218,Toby Haynes
1681772,John Dahl
1683084,Adam Bernstein
1683085,Michelle MacLaren
1683086,Scott Winant
1683087,Vince Gilligan
1683088,Vince Gilligan
1683089,Michelle MacLaren
1683090,David Slade
1683091,Colin Bucksey
1683092,Michelle MacLaren
1683093,Michael Slovis
1683094,Peter Gould
1683095,Johan Renck
1683096,Terry McDonough
1691360,Milan Cheylov
1691535,Ernest R. Dickerson
1699327,Romeo Tirone
1699544,Steve Shill
1701804,Pamela Fryman
1701991,James Purdum
1701991,Peter Shin
1713733,Pamela Fryman
1720655,Romeo Tirone
1721224,John Dahl
1721225,Jeremy Webb
1721225,Julian Simpson
1721226,Richard Clark
1723888,Toby Haynes
1723889,Julian Simpson
1723889,Toby Haynes
1733344,Steve Shill
1733345,John Dahl
1733346,Keith Gordon
1733347,Ernest R. Dickerson
1733369,Pamela Fryman
1738398,Michael Tolajian
1763611,Pamela Fryman
1775926,Jesse Warn
1777781,Peter Hoar
1777782,Julian Simpson
1777783,Julian Simpson
1777828,Pamela Fryman
1779155,Pamela Fryman
1790076,John Dahl
1790548,Ernest R. Dickerson
1790548,Gwyneth Horder-Payton
1795139,Nick Hurran
1795140,Nick Hurran
1795141,Steve Hughes
1795142,Richard Senior
1795143,Richard Clark
1795956,Pamela Fryman
1795957,Pamela Fryman
1795960,Pamela Fryman
1795961,Pamela Fryman
1795966,Pamela Fryman
1795967,Pamela Fryman
1798034,Bharat Nalluri
1804262,Ernest R. Dickerson
1804263,Greg Nicotero
1804264,Guy Ferland
1804265,Ernest R. Dickerson
1804266,Ernest R. Dickerson
1804267,Phil Abraham
1804268,Billy Gierhart
1804269,Guy Ferland
1804270,David Boyd
1804271,Michelle MacLaren
1804272,Clark Johnson
1804273,Billy Gierhart
1811020,Michael Cuesta
1815240,Coky Giedroyc
1817007,Tucker Gates
1824317,Joe Russo
1824359,Jeremy Webb
1829962,Brian Kirk
1829963,Brian Kirk
1829964,Brian Kirk
1831104,Tony Phelan
1833194,Steve Carell
1833197,Paul Feig
1833511,Michael Hurst
1837862,Daniel Minahan
1837863,Daniel Minahan
1837864,Daniel Minahan
1851397,Alan Taylor
1851398,Alan Taylor
1862636,Joe Russo
1864037,Robert Singer
1890877,Michael Lehmann
1890878,Ernest R. Dickerson
1890879,John Dahl
1890880,S.J. Clarkson
1890881,Stefan Schwartz
1890882,John Dahl
1890883,S.J. Clarkson
1890884,John Dahl
1890885,Romeo Tirone
1890886,Ernest R. Dickerson
1890887,Seith Mann
1895299,Robert B. Weide
1918407,Mark Cendrowski
1941917,David Semel
1942612,Paul McGuigan
1942613,Paul McGuigan
1942614,Toby Haynes
1943576,James Widdoes
1952703,Jack Bender
1971833,Alan Taylor
1973785,John Scott
1973786,Kevin Bray
1976882,Kevin Bray
1980710,Mark Cendrowski
1982341,Pamela Fryman
1983723,Mark Mylod
1988308,Michael Cuesta
1988309,Daniel Attias
1993220,John Behring
1995102,Philip Sgriccia
1995103,Robert Singer
1995104,Jeannot Szwarc
1995105,Philip Sgriccia
1995106,Jerry Wanek
1995107,Mike Rohl
1995108,Thomas J. Wright
1995109,John F. Showalter
1995110,Robert Singer
1995111,Philip Sgriccia
1995112,Tim Andrew
1995113,Guy Norman Bee
1995114,John MacCarthy
1995115,Ben Edlund
1995116,Guy Norman Bee
1995117,Robert Singer
1995118,Jensen Ackles
1995119,Robert Singer
1995120,Philip Sgriccia
1995121,John F. Showalter
1995122,Mike Rohl
1995123,Tim Andrew
1995124,Guy Norman Bee
1998643,Farren Blackburn
2002088,Greg Beeman
2005616,Peter Avanzino
2006450,Greg Yaitanes
2007219,Richard J. Lewis
2011518,Jeffrey Nachmanoff
2011727,Dean White
2013850,Steven DePaul
2014019,Kevin Bray
2023998,Clark Johnson
2024865,Brad Turner
2030547,Ryan Murphy
2033019,Mark Cendrowski
2033761,David Solomon
2033779,Charles Beeson
2039333,Colm McCarthy
2039807,Pamela Fryman
2040655,David Semel
2041952,Tucker Gates
2043149,Michael Cuesta
2043518,Colin Bucksey
2049132,Rob Greenberg
2049980,Pamela Fryman
2051590,Dennis Smith
2057241,Mark Cendrowski
2058495,Mark Cendrowski
2060963,Jeff Melman
2063035,Bradley Buecker
2063481,Mark Cendrowski
2065065,Alfonso Gomez-Rejon
2069318,Alan Taylor
2069319,David Petrarca
2069479,Frederick E.O. Toye
2070135,Alik Sakharov
2072524,Pamela Fryman
2072525,Pamela Fryman
2072526,Pamela Fryman
2074508,Michael Lehmann
2074509,Alfonso Gomez-Rejon
2074510,Bradley Buecker
2074512,David Semel
2074513,Michael Uppendahl
2074514,Tim Hunter
2074515,Miguel Arteta
2074516,John Scott
2074658,David Petrarca
2078287,Milan Cheylov
2079337,Howard Murray
2081647,Michael Slovis
2081741,Guy Ferland
2081742,Jeffrey Nachmanoff
2082016,Mark Cendrowski
2083664,David Barrett
2084342,Neil Marshall
2084389,Clark Johnson
2084390,Michael Cuesta
2085238,David Nutter
2085239,David Nutter
2085240,Alan Taylor
2089049,Euros Lyn
2089050,Brian Welsh
2089051,Otto Bathurst
2089317,Alex Zakrzewski
2092310,Mark Cendrowski
2094413,Michael J. Shea
2100287,Mark Cendrowski
2100961,Michael Cuesta
2101550,Jeffrey G. Hunt
2102769,Pamela Fryman
2104515,Milan Cheylov
2104525,Dean White
2105978,Mark Cendrowski
2106795,Bradley Buecker
2107527,Ernest R. Dickerson
2108075,Pamela Fryman
2110973,Stephen Williams
2112510,Alan Taylor
2119890,Anthony Rich
2121954,Greg Yaitanes
2121965,David Shore
2121966,Pamela Fryman
2127579,Tristram Shapeero
2131933,Brad Anderson
2132026,Rick Jacobson
2132030,Jesse Warn
2134715,John Dahl
2136314,Mark Cendrowski
2139151,Mark Cendrowski
2141186,Ricky Gervais
2157457,Pamela Fryman
2157459,Pamela Fryman
2161930,David Fincher
2169080,Justin Roiland
2169102,Marcos Siega
2170724,Stefan Schwartz
2178549,Chris Fisher
2178772,Daniel Minahan
2178782,Daniel Minahan
2178784,David Nutter
2178788,Alex Graves
2178796,David Nutter
2178798,Alex Graves
2178802,D.B. Weiss
2178802,David Benioff
2178806,Michelle MacLaren
2178812,Alik Sakharov
2178814,Michelle MacLaren
2181307,Richard J. Lewis
2181587,Mark Cendrowski
2185442,Michael Smith
2189771,Jeremy Lovering
2194640,Mark Cendrowski
2194839,Rob Schrab
2197079,David Von Ancken
2197294,Jack Bender
2204480,Saul Metzstein
2207888,Ernest R. Dickerson
2207890,Alik Sakharov
2208525,Joe Chappelle
2212411,Pamela Fryman
2216108,Ralph Hemecker
2216757,Pamela Fryman
2216759,Pamela Fryman
2218408,John Dahl
2220955,Mark Cendrowski
2222136,Adam Arkin
2222152,Colm McCarthy
2223063,Jeff T. Thomas
2225373,Larry Teng
2235982,Romeo Tirone
2235984,Holly Dale
2235986,Michael Lehmann
2235988,Steve Shill
2235994,Steve Shill
2235996,John Dahl
2238153,Mark Cendrowski
2239935,Charles Beeson
2244552,Chris Grismer
2245914,Johan Renck
2245918,Johan Renck
2245920,Ciaran Donnelly
2245922,Ciaran Donnelly
2245926,Ciaran Donnelly
2245928,Ken Girotti
2245930,Ken Girotti
2245932,Ken Girotti
2248422,James Foley
2248426,James Foley
2248444,James Foley
2250466,David Fincher
2252518,Pamela Fryman
2253598,Billy Gierhart
2253600,Guy Ferland
2253602,Guy Ferland
2253604,Daniel Attias
2253606,Daniel Sackheim
2253608,Billy Gierhart
2253610,Greg Nicotero
2255900,Richard J. Lewis
2265943,Pamela Fryman
2267312,Douglas Mackinnon
2267326,Mat King
2267332,Jamie Payne
2267338,Stephen Woolfenden
2267346,Saul Metzstein
2268126,Ian Graham
2268628,Adam Davidson
2269550,Lesli Linka Glatter
2270357,Stephen Semel
2275201,Mark Cendrowski
2275203,Mark Cendrowski
2284610,Farren Blackburn
2289155,Kevin Bray
2289479,Greg Mottola
2290780,Owen Harris
2293862,Jensen Ackles
2294870,Joel Schumacher
2300453,Mark Cendrowski
2301443,Michelle MacLaren
2301445,Michael Slovis
2301447,Sam Catlin
2301449,Michelle MacLaren
2301451,Rian Johnson
2301453,Peter Gould
2301455,Vince Gilligan
2301457,Michelle MacLaren
2301459,Adam Bernstein
2301461,Rian Johnson
2301463,George Mastras
2301465,Colin Bucksey
2301467,Thomas Schnauz
2301469,Michelle MacLaren
2301471,Bryan Cranston
2310526,Kevin Bray
2310910,David Barrett
2310914,Guy Norman Bee
2311910,Joel Schumacher
2311926,Charles McDougall
2312714,Charles McDougall
2317659,Saul Metzstein
2319363,Frederick E.O. Toye
2319602,Vincent Misiano
2323362,Thomas J. Wright
2325080,Lesli Linka Glatter
2330007,Stephen Williams
2332311,Peter Chakos
2336905,Pamela Fryman
2338426,Michael Schultz
2340185,David Nutter
2340501,Saul Metzstein
2341524,Jon Cassar
2341526,Jeffrey G. Hunt
2341536,Jeffrey G. Hunt
2342563,Rob Bowman
2349740,Gavin O'Connor
2352340,Guy Ferland
2355180,John Dahl
2368314,Michael Cuesta
2368332,Daniel Attias
2370419,David Slade
2372414,Tim Andrew
2373019,John Dahl
2373021,Guillermo Navarro
2373023,Michael Rymer
2373025,David Slade
2373027,Michael Rymer
2373029,David Slade
2373031,Peter Medak
2373033,Guillermo Navarro
2373035,Michael Rymer
2373037,James Foley
2373039,Tim Hunter
2373041,Guillermo Navarro
2373078,Robert Singer
2376743,Pamela Fryman
2376745,Pamela Fryman
2377368,John Behring
2378184,Mark Cendrowski
2378292,Bradley Buecker
2378294,Michael Uppendahl
2378296,Michael Uppendahl
2378304,Alfonso Gomez-Rejon
2378951,Nick Hurran
2379487,Mark Cendrowski
2380513,Saul Metzstein
2380789,Richard J. Lewis
2383315,Adam Davidson
2383792,David Semel
2385581,Michael Cuesta
2385583,Lodge Kerrigan
2385585,David Semel
2386296,Bryn Higgins
2388382,Guy Norman Bee
2392630,Mark Cendrowski
2392996,Neil Marshall
2395358,David Grossman
2396394,Mark Beesley
2397391,Johan Renck
2399633,Douglas Mackinnon
2400770,Michael Trim
2401094,Seith Mann
2402301,Nick Hurran
2403521,Steve Shill
2404088,John F. Showalter
2408792,Guy Ferland
2408794,Michael Cuesta
2408796,Jeremy Podeswa
2411550,Mark Cendrowski
2411582,Mark Cendrowski
2411954,J.H. Wyman
2414774,Pamela Fryman
2423266,Kenneth Fink
2425360,Charles Robert Carner
2425378,Robert Singer
2426138,Nick Copus
2426140,Paul A. Edwards
2428796,Pamela Fryman
2428798,Pamela Fryman
2431596,Uta Briesewitz
2436548,Michael Rymer
2440660,Carl Franklin
2448164,John Dahl
2450064,Mark Cendrowski
2451520,Jodie Foster
2460610,Pamela Fryman
2461632,Tom Harper
2461634,Tom Harper
2461638,Tom Harper
2467064,Eagle Egilsson
2468204,Carl Franklin
2471092,Michael Lehmann
2471094,Jeremy Podeswa
2471102,Michael Lehmann
2471106,Alfonso Gomez-Rejon
2471112,Craig Zisk
2471114,Alfonso Gomez-Rejon
2471500,Otto Bathurst
2471502,Otto Bathurst
2471506,Otto Bathurst
2473824,Lesli Linka Glatter
2491002,Tucker Gates
2496078,Nick Copus
2498912,Jeannot Szwarc
2502436,Mark Cendrowski
2503932,Kevin Parks
2505340,Peter Chakos
2506990,Serge Ladouceur
2510426,John Fawcett
2511028,Michael Trim
2511030,Andrew McCarthy
2513378,Ciaran Donnelly
2516452,Alfonso Gomez-Rejon
2519404,Wendey Stanzler
2521154,Greg Nicotero
2521158,Tricia Brock
2521162,David Boyd
2521168,Stefan Schwartz
2521172,Greg Nicotero
2521182,Ernest R. Dickerson
2523744,Mark Cendrowski
2527342,Guy Norman Bee
2529130,Christopher Misiano
2532054,Stephen Surjik
2542420,Carl Tibbetts
2547538,Pamela Fryman
2553406,T.J. Scott
2553410,Michael Hurst
2553414,Rick Jacobson
2555986,Allen Coulter
2555988,Allen Coulter
2556002,Pamela Fryman
2556008,Pamela Fryman
2558980,Richard J. Lewis
2559784,Mark Cendrowski
2561472,John Behring
2562802,Chris Fisher
2562804,John Dahl
2569148,Pamela Fryman
2571320,Mark Cendrowski
2577286,Michael Trim
2577702,Keith Gordon
2578700,Philip Sgriccia
2578704,John F. Showalter
2578708,Steve Boyum
2578758,Michael C. Hall
2578760,Ernest R. Dickerson
2578762,Stefan Schwartz
2578764,Romeo Tirone
2578770,John Dahl
2578776,Alik Sakharov
2578778,Holly Dale
2578782,John Dahl
2578788,Steve Shill
2578790,Ernest R. Dickerson
2578802,Steve Shill
2582488,Mark Cendrowski
2595996,Matthew Penn
2605292,Eagle Egilsson
2613042,Jesse Warn
2620550,Phil Abraham
2621384,John F. Showalter
2630114,Pamela Fryman
2633630,Glen Winter
2633894,Mark Cendrowski
2636834,Mark Cendrowski
2640490,Michael Trim
2646630,Jonathan Nolan
2654070,Guy Norman Bee
2654452,Pamela Fryman
2656658,Niels Arden Oplev
2657398,Cary Joji Fukunaga
2668726,Pamela Fryman
2668846,Mark Cendrowski
2669740,David Rogers
2669746,Ken Kwapis
2692410,Andrew McCarthy
2698256,Nick Copus
2699592,Guy Norman Bee
2699596,Robert Singer
2702688,John F. Showalter
2702698,John Behring
2704380,Cary Joji Fukunaga
2712930,Michael Offer
2733014,Pamela Fryman
2734238,Chris Fisher
2739286,Anthony Rich
2739642,Constantine Makris
2754708,Michael Trim
2761428,Michael Schultz
2761432,Kenneth Fink
2761434,John Behring
2761440,David Barrett
2779318,Nick Hurran
2781042,Colm McCarthy
2781046,Nick Hurran
2784494,Mark Cendrowski
2790174,Cary Joji Fukunaga
2790184,Cary Joji Fukunaga
2790196,Cary Joji Fukunaga
2790238,Cary Joji Fukunaga
2790240,Cary Joji Fukunaga
2790254,Cary Joji Fukunaga
2795750,Greg Nicotero
2795770,Pamela Fryman
2802532,Pamela Fryman
2805138,Thomas J. Wright
2805140,Philip Sgriccia
2811510,Carl Franklin
2816136,D.B. Weiss
2816136,David Benioff
2823278,Ann Druyan
2823278,Bill Pope
2823278,Brannon Braga
2825724,Hiroyuki Tanaka
2825724,Tetsurô Araki
2832378,Alex Graves
2832792,Richard J. Lewis
2832794,Jeffrey G. Hunt
2833352,Mark Cendrowski
2844574,Masashi Koizuka
2844574,Tetsurô Araki
2847436,Pamela Fryman
2852720,Anthony Rich
2858740,Makoto Bessho
2858740,Tetsurô Araki
2858742,Kiyoshi Fukumoto
2858742,Tetsurô Araki
2861788,Pamela Fryman
2879076,Shinpei Ezaki
2879076,Tetsurô Araki
2911556,Chris Fisher
2912308,Joss Whedon
2912494,Bharat Nalluri
2916284,Lesli Linka Glatter
2916290,Clark Johnson
2916300,David Nutter
2916302,Clark Johnson
2916304,Lesli Linka Glatter
2916310,Seith Mann
